date,open,high,low,close,range,gap,completed_legs,total_distance,efficiency_ratio,day_type,leg_sequence
2024-07-26,24423.34961,24861.15039,24410.90039,24851.75,450.25,8.349610000001121,34,1411.7527300000147,0.3189297887881508,Multi_Wave_Oscillating,"[np.float64(17.3), np.float64(-24.5), np.float64(43.7), np.float64(-30.7), np.float64(128.9), np.float64(-24.2)]"
2024-07-29,24943.30078,24999.75,24774.59961,24840.95,225.15038999999888,91.5507800000014,40,1969.9476599999944,0.11429257465652642,Multi_Wave_Oscillating,"[np.float64(24.7), np.float64(-63.2), np.float64(28.7), np.float64(-48.1), np.float64(26.2), np.float64(-30.0)]"
2024-07-30,24839.40039,24971.75,24798.65039,24840.9,173.09961000000112,-1.5496100000018487,24,1251.5945399999982,0.13830326393082648,Multi_Wave_Oscillating,"[np.float64(-29.4), np.float64(51.2), np.float64(-36.2), np.float64(30.5), np.float64(-27.5), np.float64(30.2)]"
2024-07-31,24886.69922,24984.59961,24856.5,24979.3,128.09961000000112,45.79921999999715,22,938.8949299999913,0.13643657656134356,Multi_Wave_Oscillating,"[np.float64(13.5), np.float64(-31.0), np.float64(42.6), np.float64(-72.6), np.float64(53.5), np.float64(-37.1)]"
2024-08-01,25030.94922,25078.30078,24956.40039,25006.0,121.90039000000252,51.64921999999933,20,797.4015599999912,0.1528720234758556,Multi_Wave_Oscillating,"[np.float64(-21.2), np.float64(69.5), np.float64(-52.1), np.float64(30.4), np.float64(-53.0), np.float64(37.6)]"
2024-08-02,24789.0,24851.90039,24686.84961,24699.45,165.05077999999776,-217.0,39,1552.3054600000105,0.10632622525208192,Multi_Wave_Oscillating,"[np.float64(24.4), np.float64(-34.9), np.float64(29.3), np.float64(-21.7), np.float64(37.6), np.float64(-27.5)]"
2024-08-05,24302.84961,24350.05078,23893.69922,24051.8,456.3515600000028,-396.6003899999996,99,4501.950000000015,0.10136753184731088,Multi_Wave_Oscillating,"[np.float64(18.5), np.float64(-63.2), np.float64(32.6), np.float64(-109.8), np.float64(25.9), np.float64(-43.0)]"
2024-08-06,24189.84961,24382.59961,23960.40039,24033.05,422.19922000000224,138.04961000000185,78,3434.3937599999954,0.12293267735264078,Multi_Wave_Oscillating,"[np.float64(19.1), np.float64(-42.3), np.float64(39.5), np.float64(-27.6), np.float64(56.2), np.float64(-105.6)]"
2024-08-07,24289.40039,24337.69922,24184.90039,24315.25,152.79882999999973,256.3503899999996,39,1743.3960999999945,0.08764435689629006,Multi_Wave_Oscillating,"[np.float64(-17.8), np.float64(57.9), np.float64(-61.8), np.float64(32.2), np.float64(-34.2), np.float64(42.3)]"
2024-08-08,24248.55078,24340.5,24079.69922,24098.7,260.8007800000014,-66.6992199999986,75,3492.2468800000024,0.07467993786281261,Multi_Wave_Oscillating,"[np.float64(-6.1), np.float64(22.5), np.float64(-52.5), np.float64(55.6), np.float64(-39.5), np.float64(46.0)]"
2024-08-09,24386.84961,24419.75,24311.19922,24364.4,108.5507800000014,288.1496100000004,32,1119.301560000018,0.09698081721605002,Multi_Wave_Oscillating,"[np.float64(-28.2), np.float64(64.7), np.float64(-23.0), np.float64(47.9), np.float64(-34.9), np.float64(49.2)]"
2024-08-12,24320.05078,24472.80078,24212.09961,24348.8,260.7011700000003,-44.34922000000006,38,1793.6531199999954,0.1453464814869003,Multi_Wave_Oscillating,"[np.float64(-39.0), np.float64(53.9), np.float64(-52.4), np.float64(61.8), np.float64(-56.2), np.float64(35.7)]"
2024-08-13,24342.34961,24359.94922,24116.5,24141.2,243.4492199999986,-6.450389999998151,42,1656.5539000000317,0.14696124285481682,Multi_Wave_Oscillating,"[np.float64(15.7), np.float64(-44.2), np.float64(26.2), np.float64(-33.5), np.float64(42.7), np.float64(-35.6)]"
2024-08-14,24184.40039,24196.5,24099.69922,24144.5,96.8007800000014,43.20038999999815,31,1109.7484399999958,0.08722767837366978,Multi_Wave_Oscillating,"[np.float64(-10.3), np.float64(21.0), np.float64(-23.9), np.float64(37.0), np.float64(-56.3), np.float64(26.6)]"
2024-08-16,24334.84961,24563.90039,24204.5,24539.2,359.4003899999989,190.34961000000112,48,2081.2515600000006,0.17268474263630043,Multi_Wave_Oscillating,"[np.float64(-19.8), np.float64(100.8), np.float64(-30.1), np.float64(25.1), np.float64(-50.5), np.float64(34.9)]"
2024-08-19,24636.34961,24638.80078,24522.94922,24579.0,115.85156000000279,97.1496100000004,23,956.0523399999911,0.1211770058530518,Multi_Wave_Oscillating,"[np.float64(-22.8), np.float64(30.5), np.float64(-62.6), np.float64(38.5), np.float64(-26.7), np.float64(37.9)]"
2024-08-20,24648.90039,24734.30078,24607.19922,24672.85,127.10156000000279,69.90038999999888,22,803.0531199999969,0.1582729172386545,Multi_Wave_Oscillating,"[np.float64(-17.1), np.float64(33.2), np.float64(-39.4), np.float64(21.6), np.float64(-27.8), np.float64(81.2)]"
2024-08-21,24680.55078,24787.94922,24654.5,24781.9,133.4492199999986,7.700780000002851,20,822.5476600000075,0.16223889081393458,Multi_Wave_Oscillating,"[np.float64(20.6), np.float64(-47.4), np.float64(29.8), np.float64(-20.2), np.float64(23.4), np.float64(-25.1)]"
2024-08-22,24863.40039,24867.34961,24784.44922,24810.9,82.90039000000252,81.50038999999742,13,487.4023400000042,0.1700861551054552,Multi_Wave_Oscillating,"[np.float64(-29.6), np.float64(40.7), np.float64(-55.1), np.float64(38.8), np.float64(-30.2), np.float64(54.8)]"
2024-08-23,24845.40039,24858.40039,24771.65039,24831.85,86.75,34.500389999997424,17,678.6476599999951,0.12782774495973453,Multi_Wave_Oscillating,"[np.float64(-22.6), np.float64(54.3), np.float64(-74.9), np.float64(30.0), np.float64(-25.7), np.float64(59.6)]"
2024-08-26,24906.09961,25043.80078,24874.69922,25011.45,169.1015600000028,74.24961000000258,18,702.3523400000013,0.2407645712407002,Multi_Wave_Oscillating,"[np.float64(-5.2), np.float64(110.5), np.float64(-20.4), np.float64(32.6), np.float64(-31.2), np.float64(77.6)]"
2024-08-27,25024.80078,25073.09961,24973.65039,24997.05,99.44922000000224,13.350780000000668,18,736.8492199999891,0.13496549538317176,Multi_Wave_Oscillating,"[np.float64(-9.2), np.float64(48.7), np.float64(-63.0), np.float64(70.0), np.float64(-24.0), np.float64(21.6)]"
2024-08-28,25030.80078,25129.59961,24964.65039,25044.85,164.94922000000224,33.75078000000212,17,746.6507800000036,0.22091883437127255,Multi_Wave_Oscillating,"[np.float64(17.0), np.float64(-83.5), np.float64(61.1), np.float64(-37.8), np.float64(41.5), np.float64(-29.5)]"
2024-08-29,25035.30078,25192.90039,24998.5,25156.75,194.40038999999888,-9.549219999997149,33,1667.9046799999887,0.11655365701114298,Multi_Wave_Oscillating,"[np.float64(-17.5), np.float64(56.2), np.float64(-30.0), np.float64(73.1), np.float64(-24.4), np.float64(25.5)]"
2024-08-30,25249.69922,25268.34961,25199.40039,25247.0,68.94922000000224,92.9492199999986,30,976.4976600000082,0.07060868942584221,Multi_Wave_Oscillating,"[np.float64(-22.2), np.float64(22.9), np.float64(-21.9), np.float64(33.7), np.float64(-53.2), np.float64(38.9)]"
2024-09-02,25333.59961,25333.65039,25235.5,25273.9,98.15038999999888,86.59961000000112,18,626.850779999997,0.15657696078801936,Multi_Wave_Oscillating,"[np.float64(-16.5), np.float64(33.2), np.float64(-41.8), np.float64(39.8), np.float64(-39.9), np.float64(40.3)]"
2024-09-03,25313.40039,25321.69922,25235.80078,25268.85,85.89843999999721,39.500389999997424,14,490.85077999999703,0.17499909035490935,Multi_Wave_Oscillating,"[np.float64(-2.0), np.float64(28.7), np.float64(-31.4), np.float64(21.4), np.float64(-35.3), np.float64(33.4)]"
2024-09-04,25089.94922,25216.0,25083.80078,25206.35,132.1992199999986,-178.90077999999994,12,581.3484399999834,0.22740100584083855,Multi_Wave_Oscillating,"[np.float64(27.6), np.float64(-47.9), np.float64(35.1), np.float64(-27.1), np.float64(23.2), np.float64(-26.6)]"
2024-09-05,25250.5,25275.44922,25127.75,25144.8,147.6992199999986,44.150000000001455,26,839.904679999996,0.1758523598177823,Multi_Wave_Oscillating,"[np.float64(-11.4), np.float64(25.3), np.float64(-54.6), np.float64(29.0), np.float64(-45.8), np.float64(36.1)]"
2024-09-06,25093.69922,25168.75,24801.3,24868.5,367.4500000000007,-51.10078000000067,40,2025.9039000000012,0.18137582932734397,Multi_Wave_Oscillating,"[np.float64(18.1), np.float64(-46.6), np.float64(83.7), np.float64(-125.2), np.float64(42.7), np.float64(-80.2)]"
2024-09-09,24823.40039,24957.5,24753.15,24942.25,204.34999999999854,-45.09961000000112,30,1363.3476599999922,0.14988840043925386,Multi_Wave_Oscillating,"[np.float64(-32.6), np.float64(48.9), np.float64(-39.3), np.float64(44.3), np.float64(-71.4), np.float64(94.0)]"
2024-09-10,24999.40039,25130.5,24896.80078,25052.1,233.6992199999986,57.15038999999888,32,1241.0515600000108,0.18830742213481974,Multi_Wave_Oscillating,"[np.float64(15.0), np.float64(-48.7), np.float64(40.8), np.float64(-30.1), np.float64(24.8), np.float64(-39.4)]"
2024-09-11,25034.0,25113.69922,24885.15039,24951.8,228.54882999999973,-18.099999999998545,37,1590.2023399999998,0.14372311261974358,Multi_Wave_Oscillating,"[np.float64(-5.0), np.float64(27.7), np.float64(-53.3), np.float64(92.2), np.float64(-45.3), np.float64(22.6)]"
2024-09-12,25059.65039,25433.34961,24941.44922,25314.95,491.9003900000025,107.8503899999996,70,2905.805459999996,0.16928194153782175,Multi_Wave_Oscillating,"[np.float64(-16.8), np.float64(32.3), np.float64(-34.1), np.float64(46.9), np.float64(-20.5), np.float64(36.1)]"
2024-09-13,25430.44922,25430.5,25292.44922,25343.55,138.0507800000014,115.49921999999788,32,1102.550000000003,0.12521044850573765,Multi_Wave_Oscillating,"[np.float64(-3.8), np.float64(26.4), np.float64(-74.0), np.float64(79.3), np.float64(-55.4), np.float64(38.2)]"
