entry_time,exit_time,stance,entry_spot,exit_spot,strike_long,strike_short1,strike_short2,net_pnl_pts,net_pnl_rs,cum_pnl,peak,drawdown
2022-10-13 09:20,2022-10-20 15:20,PUT_CALENDAR,17084.1992,17576.8496,16800,16950,16500,-27.34142269738527,-1777.1924753300425,10147.955149770509,10175.296572467894,-27.341422697385497
2022-10-25 09:20,2022-11-02 15:20,PUT_CALENDAR,17724.9492,18075.75,17400,17550,17100,13.607349937962681,884.4777459675743,10161.56249970847,10175.296572467894,-13.734072759423725
2022-11-03 09:20,2022-11-11 15:20,PUT_CALENDAR,18011.4492,18342.3496,17700,17850,17400,32.334073828545115,2101.7147988554325,10193.896573537015,10193.896573537015,0.0
2022-11-15 09:20,2022-11-22 15:20,PUT_CALENDAR,18359.1992,18245.0996,18050,18200,17750,343.0507173103815,22298.2966251748,10536.947290847396,10536.947290847396,0.0
2022-11-24 09:20,2022-12-01 15:20,PUT_CALENDAR,18296.75,18803.4492,18000,18150,17700,-14.690422367172914,-954.8774538662394,10522.256868480223,10536.947290847396,-14.690422367173596
2022-12-06 09:20,2022-12-13 15:20,PUT_CALENDAR,18605.6992,18607.25,18300,18450,18000,249.069053209696,16189.48845863024,10771.325921689919,10771.325921689919,0.0
2022-12-15 09:20,2022-12-22 15:20,PUT_CALENDAR,18636.0508,18120.5,18350,18500,18050,559.6115190036708,36374.7487352386,11330.93744069359,11330.93744069359,0.0
2022-12-27 09:20,2023-01-03 15:20,PUT_CALENDAR,18106.9492,18230.5,17800,17950,17500,143.04577328434289,9297.975263482287,11473.983213977932,11473.983213977932,0.0
2023-01-05 09:20,2023-01-12 15:20,PUT_CALENDAR,18055.5508,17859.8496,17750,17900,17450,383.5119260161746,24928.275191051347,11857.495139994106,11857.495139994106,0.0
2023-01-17 09:20,2023-01-24 15:20,PUT_CALENDAR,17927.6992,18106.8496,17650,17800,17350,122.39200993541544,7955.480645802004,11979.88714992952,11979.88714992952,0.0
2023-01-31 09:20,2023-02-07 15:20,PUT_CALENDAR,17621.0508,17713.1504,17300,17450,17000,139.6047862489795,9074.311106183668,12119.4919361785,12119.4919361785,0.0
2023-02-09 09:20,2023-02-16 15:20,PUT_CALENDAR,17834.9004,18020.9492,17550,17700,17250,111.2811950144428,7233.277675938782,12230.773131192942,12230.773131192942,0.0
2023-02-21 09:20,2023-02-28 15:20,PUT_CALENDAR,17871.5508,17302.0996,17550,17700,17250,546.6926577323957,35535.02275260572,12777.465788925338,12777.465788925338,0.0
2023-03-02 09:20,2023-03-10 15:20,PUT_CALENDAR,17425.9492,17417.8496,17150,17300,16850,244.1341638295262,15868.720648919203,13021.599952754863,13021.599952754863,0.0
2023-03-14 09:20,2023-03-21 15:20,PUT_CALENDAR,17160.9492,17097.0996,16850,17000,16550,252.18465337682937,16392.00246949391,13273.784606131692,13273.784606131692,0.0
2023-03-23 09:20,2023-03-31 15:20,PUT_CALENDAR,17059.1992,17340.6992,16750,16900,16450,32.140551554221474,2089.135851024396,13305.925157685913,13305.925157685913,0.0
2023-04-06 09:20,2023-04-17 15:20,PUT_CALENDAR,17529.0996,17705.0508,17250,17400,16950,112.25833057792715,7296.791487565265,13418.18348826384,13418.18348826384,0.0
2023-04-18 09:20,2023-04-25 15:20,PUT_CALENDAR,17728.5996,17757.25,17450,17600,17150,221.1703797690716,14376.074684989653,13639.353868032911,13639.353868032911,0.0
2023-04-27 09:20,2023-05-05 15:20,PUT_CALENDAR,17810.1504,18059.30078,17500,17650,17200,63.59537541620466,4133.699402053303,13702.949243449115,13702.949243449115,0.0
2023-05-09 09:20,2023-05-16 15:20,PUT_CALENDAR,18300.80078,18276.2,18000,18150,17700,265.4567624278807,17254.689557812242,13968.406005876996,13968.406005876996,0.0
2023-05-18 09:20,2023-05-25 15:20,PUT_CALENDAR,18271.95,18327.35,17950,18100,17650,183.63975445015603,11936.584039260142,14152.045760327152,14152.045760327152,0.0
