Instrument,Trades,Win Rate (%),Profit Factor,Gross PnL (Rs.),Charges (Rs.),Net PnL (Rs.),Avg PnL/Trade,Max Win,Max Loss,Max Drawdown (Rs.),Robustness Score
BHARATFORG,793,32.5,0.86,-404950.0,216900.21,-621850.21,-784.17,47031.24,-28497.24,833932.88,-0.746
ASTRAL,1252,33.8,0.88,-322150.0,380581.04,-702731.04,-561.29,40847.96,-19779.18,940810.52,-0.747
BAJAJFINSV,1126,33.7,0.87,-186850.0,224557.69,-411407.69,-365.37,24836.18,-11549.88,548662.64,-0.75
HDFCAMC,1206,34.6,0.89,-136170.0,314705.31,-450875.31,-373.86,39963.39,-45122.06,597740.54,-0.754
INDIANB,245,32.2,0.92,-149900.0,65469.11,-215369.11,-879.06,66131.28,-26554.9,284444.67,-0.757
BHARTIARTL,595,32.9,0.85,-294215.0,181670.98,-475885.98,-799.81,41858.21,-22731.7,624519.78,-0.762
UPL,309,32.0,0.86,-544981.0,116659.02,-661640.02,-2141.23,52769.14,-65854.75,845576.02,-0.782
PFC,141,30.5,0.82,-331760.0,34409.79,-366169.79,-2596.95,56777.21,-38899.01,463601.91,-0.79
HCLTECH,766,32.9,0.88,-211330.0,171722.18,-383052.18,-500.07,36744.72,-22797.48,484126.2,-0.791
RBLBANK,78,29.5,0.8,-503555.0,24353.68,-527908.68,-6768.06,94916.54,-79955.59,657851.49,-0.802
MARICO,164,30.5,0.81,-353400.0,52038.6,-405438.6,-2472.19,49094.67,-40702.93,498990.26,-0.813
MAZDOCK,930,34.9,0.88,-73230.0,188272.86,-261502.86,-281.19,63095.23,-38720.35,313222.77,-0.835
AUROPHARMA,623,31.5,0.82,-524700.0,163557.48,-688257.48,-1104.75,48689.48,-26366.16,819673.61,-0.84
AUBANK,402,30.8,0.84,-622050.0,121500.72,-743550.72,-1849.63,64513.13,-63565.73,868465.8,-0.856
HAVELLS,896,33.5,0.87,-384750.0,273202.47,-657952.47,-734.32,39385.95,-36663.33,765634.26,-0.859
NESTLEIND,441,31.5,0.83,-318550.0,111634.46,-430184.46,-975.47,24043.23,-19530.9,498545.27,-0.863
PETRONET,61,29.5,0.77,-284145.0,14541.44,-298686.44,-4896.5,64370.13,-41667.48,340864.71,-0.876
GLENMARK,755,32.2,0.86,-249487.5,192251.45,-441738.95,-585.08,75239.22,-30252.94,495283.3,-0.892
MFSL,775,31.5,0.83,-436020.0,169069.88,-605089.88,-780.76,24872.48,-29464.67,674174.91,-0.898
M&M,1265,34.2,0.83,-225030.0,285408.66,-510438.66,-403.51,24420.65,-16442.74,567212.54,-0.9
BLUESTARCO,854,34.2,0.9,-108403.75,194200.92,-302604.67,-354.34,56663.93,-28489.34,335234.33,-0.903
SUNPHARMA,614,32.1,0.82,-316610.0,143159.55,-459769.55,-748.81,31993.18,-33345.09,507162.62,-0.907
DALBHARAT,1496,33.6,0.84,-480967.5,405905.88,-886873.38,-592.83,45371.52,-28230.45,976240.2,-0.908
ADANIENT,1712,34.3,0.82,-580255.65,563540.99,-1143796.64,-668.11,59272.57,-44862.2,1254745.1,-0.912
PHOENIXLTD,924,31.2,0.81,-509145.0,204590.96,-713735.96,-772.44,31096.75,-14469.77,780376.64,-0.915
TIINDIA,1699,34.9,0.83,-248720.0,434398.89,-683118.89,-402.07,25516.02,-13938.52,740964.69,-0.922
PERSISTENT,1828,33.2,0.71,-341715.0,343364.42,-685079.42,-374.77,20742.41,-12060.68,736804.93,-0.93
TVSMOTOR,1238,32.7,0.81,-243950.0,247484.04,-491434.04,-396.96,38090.86,-12946.2,526368.65,-0.934
HAL,1485,34.1,0.76,-308400.0,343139.21,-651539.21,-438.75,27141.89,-23425.4,693983.03,-0.939
LT,1640,31.9,0.73,-592725.0,392882.39,-985607.39,-600.98,39188.07,-17272.24,1035588.44,-0.952
SBILIFE,847,31.8,0.8,-526143.75,210501.08,-736644.83,-869.71,29194.74,-42697.9,773294.48,-0.953
TECHM,927,31.3,0.79,-1087950.0,323593.2,-1411543.2,-1522.7,50640.24,-65855.17,1472435.9,-0.959
CUMMINSIND,1474,31.9,0.72,-637460.0,383624.73,-1021084.73,-692.73,23390.65,-12104.31,1063334.43,-0.96
360ONE,914,32.8,0.75,-1246375.0,255658.6,-1502033.6,-1643.36,40070.24,-635778.91,1556867.28,-0.965
GRASIM,1448,30.2,0.73,-845262.5,360109.84,-1205372.34,-832.44,27485.32,-12479.73,1247443.41,-0.966
MUTHOOTFIN,1219,30.6,0.72,-885898.75,319361.88,-1205260.63,-988.73,70795.71,-33973.77,1242859.06,-0.97
TCS,1853,32.3,0.73,-643247.5,495412.85,-1138660.35,-614.5,38868.23,-15961.38,1169748.03,-0.973
POLYCAB,2008,30.6,0.57,-976587.5,553029.0,-1529616.5,-761.76,9927.97,-18848.56,1565100.42,-0.977
PIDILITIND,689,30.6,0.78,-703625.0,202474.54,-906099.54,-1315.09,55180.92,-28674.72,927260.46,-0.977
